Board :MB785 ,,BOM rev A02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"applied ""automatic filter"" row 7, in column ""variant"" select (custom), chose equal=""base"" AND equal=""serial"" to have MB785/S BOM (serial configuration)",,,,,,,,,,,,,,,,
"applied ""automatic filter"" row 7, in column ""variant"" select (custom), chose equal=""base"" AND equal=""parallel"" to have MB785/P BOM (Parallel configuation)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Part Number (ST or sub co),Quantity,"Description (fonction, value, ..)",Reference (topologic number),Version,Package,Manufacturer 1,Part#1,Manufacturer 2 second source,Part#2 Second source,Distributor,Order code,Fitted or not fitted,Supplied by (ST or Sub Co),ROHS Compliant,Comments,Variant
,1,4.7uF/50V,C1,,1206,www.fenghua-advanced.com,1206B475K500NT,,,,,,Sub Co,lead free,,base
,1,2.2uF,C2,,TAN-A,AVX,TAJA225K016RNJ,,,,,,Sub Co,lead free,,base
,1,1uF/50V,C3,,1206,www.fenghua-advanced.com,1206B105K500NT,,,,,,Sub Co,lead free,,base
,1,3.2LCD_connector,CN1,,2.54mm pitch,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2213S-34G,,,,,,Sub Co,lead free,,base
9183504,1,FF0245SS1,CN2,,AM240*320B,JAE,FF0245SS1,,,,,,ST,lead free,,base
,1,4.7uH,L1,,3225,TDK,NL322522T-4R7J,,,,,,Sub Co,lead free,,base
,1,10K,R1,,603,www.passivecomponent.com,WR06X103JTLD ,,,,,,Sub Co,lead free,"1/16W,5%",parallel
,1,10K,R1,,603,www.passivecomponent.com,WR06X103JTLD ,,,,,not fitted,Sub Co,lead free,"1/16W,5%",serial
,2,4.7K,"R2,R3",,603,www.passivecomponent.com,WR06X472JTLD,,,,,,Sub Co,lead free,"1/16W,5%",parallel
,2,4.7K,"R2,R3",,603,www.passivecomponent.com,WR06X472JTLD,,,,,not fitted,Sub Co,lead free,"1/16W,5%",serial
,1,0,R4,,603,www.passivecomponent.com,WR06X000JTLD ,,,,,,Sub Co,lead free,"1/16W,5%",serial
,1,0,R4,,603,www.passivecomponent.com,WR06X000JTLD ,,,,,not fitted,Sub Co,lead free,"1/16W,5%",parallel
,1,0,R5,,603,www.passivecomponent.com,WR06X000JTLD ,,,,,,Sub Co,lead free,"1/16W,5%",base
,1,100K,R6,,603,www.passivecomponent.com,WR06X104JTLD,,,,,,Sub Co,lead free,"1/16W,5%",base
,1,10,R7,,603,www.passivecomponent.com,WR06X100JTLD,,,,,,Sub Co,lead free,"1/16W,5%",base
,1,10K,R8,,603,www.passivecomponent.com,WR06X103JTLD ,,,,,not fitted,Sub Co,lead free,"1/16W,5%",base
,5,10K,"RP1,PR2,PR3,PR4,PR5",,RES-4B,www.fenghua-advanced.com,RCML08W103JT,,,,,,Sub Co,lead free,,serial
,5,10K,"RP1,PR2,PR3,PR4,PR5",,RES-4B,www.fenghua-advanced.com,RCML08W103JT,,,,,not fitted,Sub Co,lead free,,parallel
,1,10K,PR6,,RES-4B,www.fenghua-advanced.com,RCML08W103JT,,,,,,Sub Co,lead free,,base
9176009,1,STLD40DPUR,U1,,QFN8,ST,STLD40DPUR,,,,,,ST,lead free,,base
9151085,1,STPS1L40M,Z1,,1R1C,ST,STPS1L40M,,,,,,ST,lead free,,base
8001044,1,"3.2"" TFT LCD SPI config",,,,"AMPIRE CO.,LTD",AM-240320D4TOQW-T01H®,,,,,,ST,lead free,serial config for Barracuda,serial
8001041,1,"3.2"" TFT LCD // config",,,,"AMPIRE CO.,LTD",AM-240320D5TOQW-T00H®,,,,,,ST,lead free,parallel config for mangusta,parallel
